index	Field	Intensity
730	3521.260997	1735.621094
731	3521.358749	2175.621094
732	3521.4565	234.6210938
733	3521.554252	3770.621094
734	3521.652004	967.6210938
735	3521.749756	-407.3789063
736	3521.847507	641.6210938
737	3521.945259	1114.621094
738	3522.043011	1602.621094
739	3522.140762	-939.3789063
740	3522.238514	1841.621094
741	3522.336266	1257.621094
742	3522.434018	1502.621094
743	3522.531769	1233.621094
744	3522.629521	1978.621094
745	3522.727273	2489.621094
746	3522.825024	1900.621094
747	3522.922776	1533.621094
748	3523.020528	2746.621094
749	3523.11828	1298.621094
750	3523.216031	1950.621094
751	3523.313783	17.62109375
752	3523.411535	976.6210938
753	3523.509286	567.6210938
754	3523.607038	3525.621094
755	3523.70479	1608.621094
756	3523.802542	1198.621094
757	3523.900293	2168.621094
758	3523.998045	2017.621094
759	3524.095797	1598.621094
760	3524.193548	2003.621094
761	3524.2913	731.6210938
762	3524.389052	1337.621094
763	3524.486804	194.6210938
764	3524.584555	698.6210938
765	3524.682307	1421.621094
766	3524.780059	1583.621094
767	3524.87781	2160.621094
768	3524.975562	821.6210938
769	3525.073314	29.62109375
770	3525.171065	3349.621094
771	3525.268817	1780.621094
772	3525.366569	1179.621094
773	3525.464321	1378.621094
774	3525.562072	-680.3789063
775	3525.659824	1319.621094
776	3525.757576	1838.621094
777	3525.855327	1004.621094
778	3525.953079	1101.621094
779	3526.050831	1866.621094
780	3526.148583	2963.621094
781	3526.246334	383.6210938
782	3526.344086	648.6210938
783	3526.441838	1890.621094
784	3526.539589	17.62109375
785	3526.637341	993.6210938
786	3526.735093	242.6210938
787	3526.832845	-134.3789063
788	3526.930596	1136.621094
789	3527.028348	1621.621094
790	3527.1261	-451.3789063
791	3527.223851	949.6210938
792	3527.321603	2302.621094
793	3527.419355	432.6210938
794	3527.517107	1563.621094
795	3527.614858	1861.621094
796	3527.71261	150.6210938
797	3527.810362	1136.621094
798	3527.908113	-214.3789063
799	3528.005865	71.62109375
800	3528.103617	2236.621094
801	3528.201369	2005.621094
802	3528.29912	1721.621094
803	3528.396872	1808.621094
804	3528.494624	-1145.378906
805	3528.592375	-339.3789063
806	3528.690127	1949.621094
807	3528.787879	2182.621094
808	3528.88563	1623.621094
809	3528.983382	1638.621094
810	3529.081134	1731.621094
811	3529.178886	-100.3789063
812	3529.276637	903.6210938
813	3529.374389	756.6210938
814	3529.472141	986.6210938
815	3529.569892	3193.621094
816	3529.667644	332.6210938
817	3529.765396	760.6210938
818	3529.863148	1552.621094
819	3529.960899	781.6210938
820	3530.058651	-181.3789063
821	3530.156403	1044.621094
822	3530.254154	1346.621094
823	3530.351906	78.62109375
824	3530.449658	1509.621094
825	3530.54741	1360.621094
826	3530.645161	1899.621094
827	3530.742913	895.6210938
828	3530.840665	719.6210938
829	3530.938416	1811.621094
830	3531.036168	1709.621094
831	3531.13392	803.6210938
832	3531.231672	1786.621094
833	3531.329423	1649.621094
834	3531.427175	1035.621094
835	3531.524927	1582.621094
836	3531.622678	478.6210938
837	3531.72043	1492.621094
838	3531.818182	606.6210938
839	3531.915934	156.6210938
840	3532.013685	-8.37890625
841	3532.111437	1896.621094
842	3532.209189	876.6210938
843	3532.30694	587.6210938
844	3532.404692	-22.37890625
845	3532.502444	2749.621094
846	3532.600196	2404.621094
847	3532.697947	1727.621094
848	3532.795699	499.6210938
849	3532.893451	420.6210938
850	3532.991202	1724.621094
851	3533.088954	1490.621094
852	3533.186706	1379.621094
853	3533.284457	297.6210938
854	3533.382209	1665.621094
855	3533.479961	1943.621094
856	3533.577713	1156.621094
